tafel_nr,wijk,begin_tijd,volg_nr,eind_tijd,servicetype
105,1,2019-01-13 12:38:47,0,2019-02-03 13:57:34,drinken
105,1,2019-01-13 12:47:28,0,2019-02-03 13:57:34,drinken
10,1,2019-01-13 12:48:37,0,2019-02-02 12:37:23,eten
10,1,2019-01-13 12:59:04,0,2019-02-02 12:37:23,eten
103,1,2019-01-13 13:04:30,1,2019-02-02 14:17:06,drinken
10,1,2019-01-13 13:09:31,0,2019-02-02 12:37:23,eten
10,1,2019-01-13 13:15:13,0,2019-02-02 12:37:23,eten
2,1,2019-01-13 13:24:51,1,2019-02-03 12:30:50,eten
107,1,2019-01-13 13:41:22,0,2019-02-03 13:57:33,drinken
10,1,2019-01-13 13:41:56,0,2019-02-02 12:37:23,eten
105,1,2019-01-13 13:42:51,0,2019-02-03 13:57:34,drinken
2,1,2019-01-13 13:48:51,1,2019-02-03 12:30:50,eten
1,1,2019-01-13 13:49:13,0,2019-02-03 12:10:07,betalen
2,1,2019-01-13 14:22:10,1,2019-02-03 12:30:50,eten
105,1,2019-01-13 14:24:34,0,2019-02-03 13:57:34,drinken
1,1,2019-01-13 14:27:37,0,2019-02-03 12:10:07,betalen
1,1,2019-01-13 14:39:17,0,2019-02-03 12:10:07,betalen
13,1,2019-01-13 14:53:17,0,2019-02-03 13:47:24,eten
10,1,2019-01-13 16:03:30,0,2019-02-02 12:37:23,eten
7,1,2019-01-13 16:05:44,0,2019-02-04 15:43:16,drinken
2,1,2019-01-13 16:13:19,1,2019-02-03 12:30:50,eten
107,1,2019-01-13 16:14:39,0,2019-02-03 13:57:33,drinken
109,1,2019-01-13 16:15:14,0,2019-02-03 16:41:44,eten
13,1,2019-01-13 17:20:54,0,2019-02-03 13:47:24,eten
8,1,2019-01-13 17:31:08,0,2019-02-03 13:47:28,eten
3,1,2019-01-15 09:00:15,0,2019-02-02 15:03:39,drinken
11,1,2019-01-15 09:07:45,0,2019-02-03 13:47:26,eten
13,1,2019-01-15 09:11:05,0,2019-02-03 13:47:24,eten
3,1,2019-01-15 09:14:09,0,2019-02-02 15:03:39,drinken
11,1,2019-01-15 09:14:31,0,2019-02-03 13:47:26,eten
4,1,2019-01-15 09:44:04,0,2019-02-03 12:40:44,drinken
2,1,2019-01-15 11:05:48,1,2019-02-03 12:30:50,eten
